Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
24183.8656899,912.2194213867188,-27342.80078125,-165173.234375,-170139.4375,-168760.328125,-155931.765625,-149199.78125,-202949.640625,0.5126953125,0.78857421875,0.351806640625,-1.9226073026657104,-0.1220703050494194,0.3967284858226776,60.0,41404.0,1.0
24183.8738386,-1000.1065063476562,-36270.53515625,-165073.90625,-170592.90625,-169289.078125,-157175.78125,-150629.9375,-203649.34375,0.5107421875,0.78564453125,0.348388671875,-1.9531248807907104,-0.2136230319738388,0.3967284858226776,60.0,41405.0,1.0
24183.8781878,3498.1376953125,-24982.009765625,-165858.984375,-169892.21875,-168802.53125,-155412.140625,-148964.90625,-203278.484375,0.511962890625,0.787109375,0.34814453125,-1.8920897245407104,-0.2136230319738388,0.6103515028953552,60.0,41406.0,1.0
24183.8781964,5982.57861328125,-11383.1181640625,-166056.578125,-169359.625,-168215.296875,-153948.90625,-147316.6875,-202536.859375,0.511962890625,0.784912109375,0.35009765625,-1.9226073026657104,-0.2746581733226776,0.5187987685203552,60.0,41407.0,1.0
24183.8875927,1756.1319580078125,-24008.634765625,-165322.1875,-170004.25,-168642.3125,-155539.625,-148797.53125,-202851.5625,0.51171875,0.786376953125,0.34912109375,-1.9531248807907104,-0.2746581733226776,0.4272460639476776,60.0,41408.0,1.0
24183.8906753,-1212.8951416015625,-36085.28515625,-165031.96875,-170620.796875,-169282.015625,-157196.34375,-150614.015625,-203631.109375,0.510498046875,0.786376953125,0.350830078125,-1.9226073026657104,-0.3051757514476776,0.5187987685203552,60.0,41409.0,1.0
24183.8906832,2482.92138671875,-28126.453125,-165737.484375,-170086.40625,-168962.5625,-155874.453125,-149429.734375,-203466.0625,0.510009765625,0.786376953125,0.349609375,-1.8920897245407104,-0.1831054538488388,0.4272460639476776,60.0,41410.0,1.0
24183.8925803,6059.82666015625,-11842.5810546875,-166136.046875,-169390.5625,-168271.71875,-154000.9375,-147408.328125,-202655.046875,0.509765625,0.78759765625,0.346923828125,-1.9226073026657104,-0.2136230319738388,0.4272460639476776,60.0,41411.0,1.0
24183.9044215,2609.879150390625,-20665.9765625,-165483.296875,-169878.359375,-168537.171875,-155165.546875,-148421.578125,-202775.21875,0.51025390625,0.78759765625,0.34619140625,-1.8615721464157104,-0.2746581733226776,0.3967284858226776,60.0,41412.0,1.0
24183.9044302,-1279.235107421875,-35365.2890625,-165016.140625,-170626.875,-169253.59375,-157152.34375,-150529.171875,-203594.890625,0.51025390625,0.788330078125,0.348876953125,-1.9531248807907104,-0.2746581733226776,0.4882812201976776,60.0,41413.0,1.0
