Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
2255.1652788,26420.2109375,10417.701171875,-270969.84375,-261196.15625,-238621.515625,-285096.15625,-258588.421875,-418088.40625,0.39892578125,0.725341796875,0.5517578125,-2.014159917831421,-0.2746581733226776,0.7019042372703552,66.66667175292969,85150.0,1.0
2255.1696077,3461.659423828125,9871.4248046875,-272157.0,-262084.140625,-239406.0625,-281552.78125,-254148.375,-418574.78125,0.39697265625,0.723388671875,0.55322265625,-2.014159917831421,-0.2746581733226776,0.6103515028953552,66.66667175292969,85151.0,1.0
2255.1696142,-6562.38330078125,5837.29248046875,-272478.25,-262433.8125,-240713.1875,-279508.5625,-251903.640625,-418695.3125,0.39697265625,0.72265625,0.55029296875,-1.8920897245407104,-0.3356933295726776,0.6103515028953552,66.66667175292969,85152.0,1.0
2255.1777745,14515.6708984375,5897.46337890625,-271385.59375,-261639.34375,-240113.71875,-282670.1875,-255904.78125,-418276.625,0.39697265625,0.722900390625,0.550048828125,-1.9836424589157104,-0.3051757514476776,0.6713866591453552,66.66667175292969,85153.0,1.0
2255.1808729,27752.642578125,9853.185546875,-270880.625,-261146.53125,-238726.65625,-285256.90625,-258828.03125,-418072.0625,0.397216796875,0.72265625,0.553955078125,-1.8310545682907104,-0.2441406100988388,0.6103515028953552,66.66667175292969,85154.0,1.0
2255.1808791,8428.9326171875,10313.2744140625,-271951.53125,-261919.453125,-239161.0,-282342.15625,-255093.671875,-418514.1875,0.397705078125,0.72265625,0.5517578125,-1.9226073026657104,-0.3356933295726776,0.6408690810203552,66.66667175292969,85155.0,1.0
2255.18903,-7517.69677734375,6227.73291015625,-272574.0,-262490.21875,-240607.0625,-279455.8125,-251782.75,-418757.28125,0.39892578125,0.721923828125,0.553955078125,-1.9226073026657104,-0.2136230319738388,0.6103515028953552,66.66667175292969,85156.0,1.0
2255.1933614,9841.1162109375,5287.79736328125,-271622.625,-261828.703125,-240364.953125,-281922.84375,-254990.6875,-418395.09375,0.3984375,0.722412109375,0.55224609375,-1.9531248807907104,-0.3051757514476776,0.7629393935203552,66.66667175292969,85157.0,1.0
2255.1933674,27626.48828125,9178.1630859375,-270840.9375,-261137.671875,-238893.125,-285234.75,-258847.875,-418075.4375,0.3984375,0.724609375,0.550048828125,-1.9531248807907104,-0.2441406100988388,0.7324218153953552,66.66667175292969,85158.0,1.0
2255.1951493,12948.544921875,10687.173828125,-271727.125,-261745.28125,-238941.859375,-283128.03125,-256052.390625,-418442.46875,0.39892578125,0.72509765625,0.554931640625,-1.9836424589157104,-0.2746581733226776,0.7019042372703552,66.66667175292969,85159.0,1.0
2255.2028069,-7801.83203125,7108.48095703125,-272621.03125,-262509.375,-240428.25,-279565.09375,-251863.578125,-418802.0625,0.398193359375,0.721923828125,0.553466796875,-1.9226073026657104,-0.2746581733226776,0.7019042372703552,66.66667175292969,85160.0,1.0
