Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
21236.3468906,321510.09375,321666.65625,322322.8125,321856.90625,321766.96875,321937.8125,322098.125,322218.75,0.2783203125,0.942626953125,0.221923828125,-1.8005369901657104,-0.0915527269244194,0.7019042372703552,66.66667175292969,21193.0,1.0
21236.3468968,319301.125,319457.0625,320113.46875,319647.9375,319558.0625,319728.125,319888.4375,320008.96875,0.28076171875,0.9443359375,0.22265625,-1.8615721464157104,-0.1220703050494194,0.7019042372703552,66.66667175292969,21194.0,1.0
21236.3488484,315542.625,315697.65625,316353.90625,315889.0,315799.21875,315967.9375,316128.96875,316248.9375,0.28076171875,0.9423828125,0.220458984375,-1.8615721464157104,-0.2136230319738388,0.6713866591453552,66.66667175292969,21195.0,1.0
21236.3650258,317467.5625,317623.59375,318279.65625,317814.1875,317724.34375,317893.59375,318054.53125,318174.6875,0.28076171875,0.94189453125,0.22314453125,-1.9531248807907104,-0.1525878757238388,0.7019042372703552,66.66667175292969,21196.0,1.0
21236.3687082,321285.15625,321441.78125,322098.3125,321632.15625,321542.46875,321712.78125,321872.90625,321993.625,0.279052734375,0.943359375,0.2236328125,-1.8310545682907104,-0.3051757514476776,0.6713866591453552,66.66667175292969,21197.0,1.0
21236.3687164,320097.65625,320253.75,320909.8125,320444.46875,320354.6875,320524.5625,320685.0625,320805.46875,0.279296875,0.94189453125,0.21875,-1.8615721464157104,-0.3051757514476776,0.7324218153953552,66.66667175292969,21198.0,1.0
21236.3687208,315867.1875,316022.75,316678.375,316213.53125,316124.21875,316292.5625,316453.40625,316573.5,0.279052734375,0.941650390625,0.220458984375,-1.8310545682907104,-0.1831054538488388,0.7324218153953552,66.66667175292969,21199.0,1.0
21236.3712714,316778.25,316933.71875,317589.6875,317124.59375,317035.1875,317203.8125,317364.3125,317485.0,0.2802734375,0.94287109375,0.219970703125,-1.8920897245407104,-0.1525878757238388,0.6103515028953552,66.66667175292969,21200.0,1.0
21236.3738523,320893.09375,321049.46875,321705.8125,321240.4375,321150.3125,321320.65625,321480.59375,321601.46875,0.28125,0.94384765625,0.220703125,-1.9836424589157104,-0.1220703050494194,0.6713866591453552,66.66667175292969,21201.0,1.0
21236.3825245,320769.375,320925.8125,321582.4375,321116.4375,321026.59375,321196.8125,321356.9375,321477.5625,0.279052734375,0.944091796875,0.220947265625,-1.8615721464157104,-0.1525878757238388,0.7019042372703552,66.66667175292969,21202.0,1.0
21236.3893572,316395.21875,316550.59375,317206.84375,316741.59375,316652.1875,316820.53125,316981.1875,317101.53125,0.28125,0.943359375,0.221923828125,-1.8920897245407104,-0.2136230319738388,0.7629393935203552,66.66667175292969,21203.0,1.0
21236.3893656,316223.90625,316379.125,317035.1875,316569.90625,316480.5,316649.125,316809.78125,316930.21875,0.282470703125,0.943359375,0.22119140625,-1.9531248807907104,-0.1525878757238388,0.7629393935203552,66.66667175292969,21204.0,1.0
21236.3956159,320362.90625,320518.9375,321175.4375,320709.5625,320619.6875,320790.03125,320950.15625,321070.75,0.279296875,0.942138671875,0.22216796875,-1.9226073026657104,-0.1831054538488388,0.7324218153953552,66.66667175292969,21205.0,1.0
