Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
1413.0972122,280271.125,280416.59375,281074.1875,280614.4375,280528.25,280683.28125,280851.125,280970.65625,0.2197265625,0.969482421875,0.171142578125,-1.8310545682907104,-0.1525878757238388,0.5798339247703552,100.0,17611.0,1.0
1413.1015354,280617.65625,280763.0625,281420.375,280960.625,280874.625,281029.84375,281197.5625,281317.28125,0.2197265625,0.971923828125,0.168701171875,-1.9226073026657104,-0.2441406100988388,0.5798339247703552,100.0,17612.0,1.0
1413.1015425,280685.625,280831.09375,281487.96875,281028.75,280942.65625,281097.96875,281265.875,281385.3125,0.222900390625,0.9716796875,0.171875,-1.8310545682907104,-0.1831054538488388,0.5187987685203552,100.0,17613.0,1.0
1413.1152903,280359.65625,280504.65625,281161.625,280702.53125,280616.40625,280771.53125,280939.4375,281058.71875,0.222412109375,0.970703125,0.17138671875,-1.8920897245407104,-0.1525878757238388,0.5187987685203552,100.0,17614.0,1.0
1413.1152993,280259.0625,280404.25,281061.03125,280601.9375,280516.0,280670.875,280838.96875,280958.59375,0.22119140625,0.968505859375,0.174072265625,-1.8615721464157104,-0.1220703050494194,0.6408690810203552,100.0,17615.0,1.0
1413.1172132,280584.0625,280729.6875,281386.75,280927.375,280841.625,280996.3125,281164.65625,281283.84375,0.220458984375,0.968505859375,0.171142578125,-1.8615721464157104,-0.1831054538488388,0.6408690810203552,100.0,17616.0,1.0
1413.1197134,280734.0,280879.71875,281536.59375,281077.59375,280991.3125,281146.34375,281314.5,281433.875,0.218017578125,0.96826171875,0.171630859375,-1.8005369901657104,-0.2441406100988388,0.4577636420726776,100.0,17617.0,1.0
1413.1249409,280440.90625,280586.28125,281243.15625,280784.0625,280697.78125,280853.34375,281021.15625,281140.53125,0.220947265625,0.9697265625,0.173583984375,-1.8310545682907104,-0.2136230319738388,0.5798339247703552,100.0,17618.0,1.0
1413.1302862,280263.53125,280408.5625,281065.40625,280606.6875,280520.21875,280675.78125,280843.15625,280962.96875,0.2216796875,0.970947265625,0.16845703125,-1.8615721464157104,-0.2441406100988388,0.6103515028953552,100.0,17619.0,1.0
1413.1302942,280545.96875,280691.0625,281348.03125,280889.03125,280802.9375,280958.3125,281125.78125,281245.3125,0.220458984375,0.970947265625,0.16748046875,-1.7700194120407104,-0.2136230319738388,0.5493163466453552,100.0,17620.0,1.0
1413.1322058,280770.03125,280915.21875,281572.34375,281113.25,281026.8125,281182.46875,281350.09375,281469.375,0.220947265625,0.97119140625,0.170166015625,-1.8005369901657104,-0.3051757514476776,0.6103515028953552,100.0,17621.0,1.0
1413.140964,280526.84375,280672.375,281329.4375,280870.0625,280783.875,280939.34375,281107.0,281226.1875,0.22021484375,0.9716796875,0.170654296875,-1.9531248807907104,-0.2441406100988388,0.5493163466453552,100.0,17622.0,1.0
1413.1452936,280280.53125,280426.25,281082.84375,280623.84375,280537.5625,280693.03125,280860.6875,280979.9375,0.220703125,0.970458984375,0.171875,-1.8920897245407104,-0.2441406100988388,0.5187987685203552,100.0,17623.0,1.0
1413.1453011,280503.3125,280649.21875,281305.46875,280846.65625,280760.46875,280915.75,281083.5625,281202.65625,0.220458984375,0.968994140625,0.173095703125,-1.9531248807907104,-0.2136230319738388,0.4272460639476776,100.0,17624.0,1.0
1413.1534575,280786.84375,280932.46875,281589.0,281130.25,281043.96875,281199.09375,281367.34375,281486.4375,0.21923828125,0.970947265625,0.1728515625,-1.8615721464157104,-0.1525878757238388,0.4882812201976776,100.0,17625.0,1.0
1413.1577934,280612.21875,280757.9375,281414.5625,280955.71875,280869.4375,281024.46875,281192.46875,281311.75,0.22216796875,0.96875,0.171630859375,-1.8615721464157104,-0.0610351525247097,0.5798339247703552,100.0,17626.0,1.0
1413.1578018,280318.78125,280464.53125,281120.84375,280661.9375,280575.5625,280730.9375,280898.6875,281018.125,0.22021484375,0.968505859375,0.1689453125,-1.9226073026657104,-0.1525878757238388,0.5493163466453552,100.0,17627.0,1.0
1413.1659693,280466.3125,280611.78125,281268.65625,280809.28125,280723.34375,280878.65625,281046.28125,281165.5625,0.219970703125,0.969970703125,0.17041015625,-1.9226073026657104,-0.1220703050494194,0.4882812201976776,100.0,17628.0,1.0
1413.1702934,280790.6875,280935.78125,281592.84375,281133.625,281047.8125,281202.9375,281370.84375,281489.84375,0.220458984375,0.97119140625,0.171875,-1.9836424589157104,-0.1831054538488388,0.4882812201976776,100.0,17629.0,1.0
1413.1703011,280697.96875,280842.875,281500.03125,281040.9375,280954.65625,281110.125,281278.03125,281397.21875,0.22021484375,0.970458984375,0.17236328125,-1.8310545682907104,-0.1220703050494194,0.4882812201976776,100.0,17630.0,1.0
1413.1722052,280370.375,280515.375,281172.25,280713.25,280626.6875,280782.09375,280950.25,281069.53125,0.2197265625,0.9697265625,0.172607421875,-1.9836424589157104,-0.2136230319738388,0.4577636420726776,100.0,17631.0,1.0
1413.1840406,280430.71875,280576.28125,281233.0625,280773.96875,280687.84375,280843.25,281011.15625,281130.6875,0.219482421875,0.968994140625,0.171630859375,-1.9836424589157104,-0.1831054538488388,0.5798339247703552,100.0,17632.0,1.0
1413.1840493,280776.71875,280922.71875,281579.0625,281120.40625,281033.9375,281189.34375,281357.15625,281476.59375,0.21875,0.96826171875,0.170654296875,-1.9531248807907104,-0.0915527269244194,0.5187987685203552,100.0,17633.0,1.0
1413.1859536,280769.84375,280915.75,281572.53125,281113.6875,281026.8125,281182.53125,281350.1875,281469.375,0.2177734375,0.96826171875,0.16796875,-1.9226073026657104,-0.1220703050494194,0.6103515028953552,100.0,17634.0,1.0
1413.1897038,280433.40625,280578.875,281235.90625,280776.90625,280690.09375,280846.03125,281013.375,281132.9375,0.21875,0.968994140625,0.17236328125,-1.9836424589157104,-0.03051757626235485,0.6408690810203552,100.0,17635.0,1.0
1413.1990241,280409.71875,280555.4375,281212.21875,280753.46875,280666.9375,280822.3125,280989.875,281109.40625,0.21923828125,0.96728515625,0.1708984375,-1.9531248807907104,-0.1525878757238388,0.6103515028953552,100.0,17636.0,1.0
1413.1990305,280753.21875,280898.84375,281555.71875,281096.625,281009.90625,281165.1875,281333.1875,281452.5625,0.220947265625,0.968994140625,0.1728515625,-1.9531248807907104,-0.1220703050494194,0.6103515028953552,100.0,17637.0,1.0
1413.2077844,280832.15625,280977.625,281634.9375,281175.75,281088.9375,281244.78125,281412.15625,281531.78125,0.221923828125,0.969482421875,0.171630859375,-1.9836424589157104,-0.1525878757238388,0.6103515028953552,100.0,17638.0,1.0
1413.2077925,280509.21875,280654.6875,281312.0,280853.09375,280766.1875,280921.75,281089.28125,281208.5625,0.21923828125,0.968994140625,0.171142578125,-1.9226073026657104,-0.1220703050494194,0.6103515028953552,100.0,17639.0,1.0
1413.2102933,280398.71875,280544.0,281201.40625,280742.40625,280655.40625,280811.0625,280978.78125,281097.875,0.21826171875,0.967529296875,0.169921875,-1.8920897245407104,-0.1525878757238388,0.5493163466453552,100.0,17640.0,1.0
1413.2103008,280719.9375,280865.0625,281522.28125,281063.09375,280976.46875,281132.375,281299.75,281419.03125,0.21826171875,0.96923828125,0.171630859375,-1.8920897245407104,-0.1831054538488388,0.4882812201976776,100.0,17641.0,1.0
1413.2184568,280880.875,281026.34375,281683.40625,281224.21875,281137.5625,281293.21875,281460.96875,281580.40625,0.2177734375,0.96923828125,0.169189453125,-1.7700194120407104,-0.1831054538488388,0.5187987685203552,100.0,17642.0,1.0
1413.2222018,280591.5625,280736.84375,281393.8125,280934.875,280847.96875,281003.5625,281171.375,281290.5625,0.219970703125,0.968994140625,0.171875,-1.8005369901657104,-0.0915527269244194,0.5187987685203552,100.0,17643.0,1.0
1413.2259541,280404.34375,280549.375,281206.5,280747.40625,280660.6875,280816.25,280983.875,281103.25,0.21923828125,0.96875,0.17333984375,-1.8615721464157104,-0.0915527269244194,0.5187987685203552,100.0,17644.0,1.0
