Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
815.2915057,158411.828125,158527.78125,159168.03125,158731.375,158660.109375,158767.84375,158950.765625,159065.75,-0.07275390625,1.011962890625,-0.009765625,-2.044677495956421,-0.1525878757238388,0.6713866591453552,73.33333587646484,3321.0,1.0
815.2945696,158439.1875,158554.875,159195.03125,158758.640625,158687.46875,158795.203125,158978.046875,159092.65625,-0.072509765625,1.01171875,-0.01025390625,-2.014159917831421,-0.2441406100988388,0.6408690810203552,73.33333587646484,3322.0,1.0
815.2945752,158386.53125,158502.21875,159142.546875,158706.15625,158634.71875,158742.8125,158924.84375,159039.90625,-0.072021484375,1.011474609375,-0.010986328125,-1.9226073026657104,-0.2441406100988388,0.7324218153953552,73.33333587646484,3323.0,1.0
815.2964955,158398.234375,158513.84375,159154.53125,158717.6875,158646.25,158754.53125,158936.828125,159051.71875,-0.072021484375,1.010009765625,-0.010498046875,-1.9836424589157104,-0.1525878757238388,0.7324218153953552,73.33333587646484,3324.0,1.0
815.2990489,158487.203125,158602.625,159243.40625,158806.5625,158735.296875,158843.390625,159026.046875,159140.859375,-0.073486328125,1.010986328125,-0.01123046875,-1.9531248807907104,-0.3051757514476776,0.7019042372703552,73.33333587646484,3325.0,1.0
815.3015041,158530.828125,158646.609375,159287.21875,158850.375,158779.296875,158887.03125,159070.046875,159184.921875,-0.072998046875,1.01025390625,-0.009765625,-2.014159917831421,-0.2746581733226776,0.7324218153953552,73.33333587646484,3326.0,1.0
815.3108254,158476.015625,158592.25,159232.578125,158795.828125,158724.578125,158832.3125,159015.328125,159130.390625,-0.072265625,1.009033203125,-0.010009765625,-1.9531248807907104,-0.2136230319738388,0.7324218153953552,73.33333587646484,3327.0,1.0
815.3108322,158464.125,158580.1875,159220.6875,158784.125,158712.6875,158820.421875,159003.34375,159118.234375,-0.07275390625,1.010009765625,-0.01123046875,-2.014159917831421,-0.1525878757238388,0.7019042372703552,73.33333587646484,3328.0,1.0
815.3133365,158551.484375,158667.0,159307.328125,158870.75,158799.578125,158907.234375,159090.34375,159205.140625,-0.072509765625,1.01171875,-0.011962890625,-2.075195074081421,-0.03051757626235485,0.7019042372703552,73.33333587646484,3329.0,1.0
815.3133431,158615.578125,158730.734375,159371.25,158934.234375,158863.421875,158970.984375,159154.078125,159268.609375,-0.072998046875,1.0126953125,-0.00830078125,-2.044677495956421,-0.1220703050494194,0.7019042372703552,73.33333587646484,3330.0,1.0
815.3215022,158577.671875,158693.1875,159333.609375,158897.125,158825.953125,158933.421875,159116.53125,159231.25,-0.0732421875,1.010986328125,-0.005859375,-2.044677495956421,-0.1831054538488388,0.7019042372703552,73.33333587646484,3331.0,1.0
815.3252323,158553.1875,158668.875,159309.296875,158872.359375,158801.46875,158908.84375,159092.03125,159206.75,-0.074462890625,1.01025390625,-0.00927734375,-1.9531248807907104,-0.2136230319738388,0.7019042372703552,73.33333587646484,3332.0,1.0
815.3320888,158630.703125,158746.65625,159386.984375,158949.609375,158878.984375,158986.71875,159169.546875,159284.265625,-0.07421875,1.0107421875,-0.011474609375,-1.9531248807907104,-0.2136230319738388,0.7019042372703552,73.33333587646484,3333.0,1.0
815.3320946,158704.8125,158820.78125,159461.015625,159024.0,158953.0,159060.75,159243.578125,159358.46875,-0.07275390625,1.01318359375,-0.009521484375,-1.9836424589157104,-0.2441406100988388,0.6713866591453552,73.33333587646484,3334.0,1.0
