Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
22041.4010916,60961.43359375,61049.32421875,61640.5703125,61229.56640625,61178.515625,61250.04296875,61437.4375,61548.48046875,0.52783203125,0.77880859375,0.347412109375,-2.044677495956421,-0.2136230319738388,0.8544921278953552,60.0,808.0,1.0
22041.4047749,61737.3984375,61825.8203125,62417.875,62006.3359375,61955.10546875,62026.98828125,62214.38671875,62325.0703125,0.528076171875,0.779541015625,0.347412109375,-1.9531248807907104,-0.2136230319738388,0.7324218153953552,60.0,809.0,1.0
22041.4047812,63815.484375,63904.53515625,64498.82421875,64086.12109375,64033.37109375,64105.96875,64293.09765625,64404.140625,0.528076171875,0.779541015625,0.3447265625,-1.9531248807907104,-0.3051757514476776,0.7324218153953552,60.0,810.0,1.0
22041.4047837,63575.16015625,63664.296875,64257.9609375,63845.79296875,63793.1328125,63865.46484375,64052.76953125,64163.9921875,0.52978515625,0.7802734375,0.3447265625,-1.9531248807907104,-0.2441406100988388,0.7629393935203552,60.0,811.0,1.0
22041.407366,61466.31640625,61554.73828125,62146.078125,61734.71484375,61683.484375,61755.37109375,61942.67578125,62053.453125,0.528564453125,0.77880859375,0.34716796875,-1.9836424589157104,-0.2441406100988388,0.7019042372703552,60.0,812.0,1.0
22041.4110905,61718.625,61807.40625,62399.1015625,61987.46875,61936.328125,62007.67578125,62195.33984375,62306.296875,0.528564453125,0.77734375,0.348876953125,-2.044677495956421,-0.3662109076976776,0.7019042372703552,60.0,813.0,1.0
22041.4254245,63875.296875,63964.79296875,64558.7265625,64146.2890625,64093.71875,64165.42578125,64353.1796875,64464.3125,0.52734375,0.779541015625,0.345458984375,-2.044677495956421,-0.3662109076976776,0.7019042372703552,60.0,814.0,1.0
22041.4254307,64161.66796875,64251.43359375,64845.36328125,64433.01953125,64379.8203125,64452.15234375,64639.90625,64750.4140625,0.529296875,0.780029296875,0.34423828125,-2.044677495956421,-0.2746581733226776,0.7019042372703552,60.0,815.0,1.0
22041.4279264,62058.81640625,62147.95703125,62739.91796875,62328.01953125,62276.703125,62348.2265625,62535.8046875,62646.66796875,0.5263671875,0.779541015625,0.345458984375,-1.9531248807907104,-0.2746581733226776,0.7019042372703552,60.0,816.0,1.0
22041.4279321,61771.8203125,61860.51171875,62452.20703125,62040.48828125,61989.6171875,62061.05078125,62248.1796875,62359.40234375,0.52734375,0.777587890625,0.343017578125,-2.105712652206421,-0.2441406100988388,0.7629393935203552,60.0,817.0,1.0
22041.43919,63870.203125,63959.7890625,64553.18359375,64141.1953125,64088.35546875,64160.7734375,64347.90234375,64458.9453125,0.529052734375,0.779052734375,0.341796875,-1.9836424589157104,-0.1220703050494194,0.6713866591453552,60.0,818.0,1.0
22041.4391973,64654.03515625,64743.6171875,65338.35546875,64925.65234375,64872.453125,64944.6953125,65132.359375,65243.046875,0.529296875,0.779052734375,0.34423828125,-1.8920897245407104,-0.1831054538488388,0.7019042372703552,60.0,819.0,1.0
22041.4479281,62724.71875,62813.6796875,63406.5390625,62994.73046875,62942.78515625,63014.30859375,63202.0625,63312.83984375,0.52734375,0.77734375,0.343994140625,-1.9836424589157104,-0.2136230319738388,0.7324218153953552,60.0,820.0,1.0
22041.4479352,61908.61328125,61997.125,62589.4453125,62177.7265625,62126.140625,62197.48828125,62385.421875,62496.015625,0.5283203125,0.778076171875,0.3427734375,-2.044677495956421,-0.1831054538488388,0.7019042372703552,60.0,821.0,1.0
22041.4503439,63810.92578125,63900.6015625,64494.53125,64081.73828125,64029.078125,64101.05078125,64289.07421875,64399.3125,0.52978515625,0.779541015625,0.3427734375,-1.9531248807907104,-0.3051757514476776,0.6408690810203552,60.0,822.0,1.0
22041.4503504,65040.62890625,65130.57421875,65725.484375,65312.0703125,65258.87109375,65331.46875,65519.046875,65630.0,0.52880859375,0.778564453125,0.343994140625,-1.9836424589157104,-0.2746581733226776,0.7324218153953552,60.0,823.0,1.0
22041.4610907,63430.23046875,63519.7265625,64112.76171875,63700.5078125,63648.47265625,63720.17578125,63907.93359375,64018.796875,0.527587890625,0.77734375,0.345947265625,-1.9531248807907104,-0.1831054538488388,0.6408690810203552,60.0,824.0,1.0
22041.4654376,62131.86328125,62220.5546875,62812.4296875,62400.88671875,62349.390625,62420.9140625,62608.84765625,62719.35546875,0.5283203125,0.777587890625,0.345947265625,-1.9531248807907104,-0.2746581733226776,0.6408690810203552,60.0,825.0,1.0
22041.4654443,63726.16796875,63815.39453125,64408.96875,63996.625,63944.23046875,64016.11328125,64203.95703125,64315.00390625,0.528076171875,0.780029296875,0.3447265625,-1.9531248807907104,-0.2136230319738388,0.7629393935203552,60.0,826.0,1.0
22041.4741893,65334.6875,65425.078125,66019.8125,65606.84375,65553.109375,65625.890625,65813.375,65924.59375,0.52783203125,0.77978515625,0.34326171875,-1.8920897245407104,-0.3051757514476776,0.6408690810203552,60.0,827.0,1.0
22041.4741956,64149.33203125,64238.91796875,64832.84765625,64420.50390625,64367.57421875,64439.9921875,64627.30078125,64738.703125,0.5283203125,0.778564453125,0.343994140625,-1.9836424589157104,-0.3356933295726776,0.6713866591453552,60.0,828.0,1.0
