Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
21392.9972323,308353.875,308506.75,309160.5,308695.5,308609.65625,308776.59375,308884.5,283632.125,0.44140625,0.885009765625,0.199462890625,-1.8615721464157104,-0.2746581733226776,0.6103515028953552,80.0,42949.0,1.0
21393.0115703,308301.46875,308454.4375,309107.90625,308643.09375,308557.4375,308724.28125,308828.0625,282975.34375,0.440185546875,0.8857421875,0.19775390625,-1.8005369901657104,-0.1525878757238388,0.5798339247703552,80.0,42950.0,1.0
21393.0115771,308145.71875,308298.4375,308951.09375,308486.53125,308401.25,308568.0,308661.875,282319.96875,0.44287109375,0.886962890625,0.196533203125,-1.6784666776657104,-0.1831054538488388,0.6103515028953552,80.0,42951.0,1.0
21393.0140797,308187.46875,308340.0,308993.3125,308529.09375,308442.71875,308609.75,308713.375,282855.625,0.44384765625,0.8837890625,0.197509765625,-1.7700194120407104,-0.1525878757238388,0.6103515028953552,80.0,42952.0,1.0
21393.0140874,308359.75,308512.5625,309165.9375,308701.3125,308615.125,308781.84375,308890.65625,283568.1875,0.444091796875,0.885009765625,0.195068359375,-1.8005369901657104,-0.2441406100988388,0.6103515028953552,80.0,42953.0,1.0
21393.0159801,308346.875,308499.96875,309153.15625,308688.59375,308602.59375,308769.0625,308873.9375,283086.09375,0.4443359375,0.885009765625,0.1962890625,-1.8310545682907104,-0.1525878757238388,0.6713866591453552,80.0,42954.0,1.0
21393.0328209,308183.09375,308336.34375,308988.90625,308524.0,308438.96875,308605.375,308693.25,282292.625,0.4443359375,0.88525390625,0.197265625,-1.9226073026657104,-0.2746581733226776,0.6713866591453552,80.0,42955.0,1.0
21393.0328292,308184.15625,308337.78125,308990.1875,308525.625,308439.6875,308606.875,308704.96875,282635.84375,0.4453125,0.88671875,0.19677734375,-1.9226073026657104,-0.2136230319738388,0.5187987685203552,80.0,42956.0,1.0
21393.0396673,308358.34375,308512.28125,309165.5,308700.9375,308614.3125,308781.21875,308889.40625,283451.25,0.446044921875,0.884765625,0.1982421875,-1.9836424589157104,-0.1831054538488388,0.6103515028953552,80.0,42957.0,1.0
21393.0396754,308390.25,308543.75,309197.40625,308732.5,308646.40625,308812.6875,308917.9375,283170.875,0.44482421875,0.885009765625,0.197509765625,-1.9836424589157104,-0.1525878757238388,0.6408690810203552,80.0,42958.0,1.0
