Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
35185.8013984,179361.3125,176188.171875,296772.34375,237811.21875,158701.234375,167079.203125,168321.875,177502.8125,0.02294921875,0.987060546875,-0.266845703125,-2.349853277206421,-1.3427733182907104,-0.1831054538488388,66.66667175292969,41757.0,1.0
35185.8070044,178157.0,175654.671875,294258.84375,237613.71875,158685.40625,167099.234375,168338.140625,177524.171875,0.02294921875,0.986083984375,-0.269775390625,-2.441406011581421,-1.2817381620407104,-0.1831054538488388,66.66667175292969,41758.0,1.0
35185.8070106,179572.21875,176416.34375,295835.28125,238109.390625,159013.265625,167122.578125,168401.0,177526.140625,0.02099609375,0.98486328125,-0.270751953125,-2.471923589706421,-1.2207030057907104,-0.1525878757238388,66.66667175292969,41759.0,1.0
35185.8114206,180933.0,177034.671875,298519.28125,238351.140625,159062.984375,167102.28125,168390.984375,177506.03125,0.02001953125,0.98388671875,-0.270263671875,-2.410888433456421,-1.0681151151657104,-0.0915527269244194,66.66667175292969,41760.0,1.0
35185.8166912,179702.3125,176353.75,297296.8125,237881.3125,158741.03125,167077.421875,168326.609375,177499.953125,0.0205078125,0.98388671875,-0.27001953125,-2.319335699081421,-1.0375975370407104,-0.0610351525247097,66.66667175292969,41761.0,1.0
35185.8166974,178169.34375,175645.734375,294435.875,237565.890625,158642.859375,167091.375,168323.9375,177514.515625,0.021484375,0.98388671875,-0.270751953125,-2.258300542831421,-0.9460448622703552,0.03051757626235485,66.66667175292969,41762.0,1.0
35185.8166999,179208.34375,176233.765625,295294.375,237993.25,158949.4375,167114.703125,168382.5,177517.109375,0.02197265625,0.983642578125,-0.27001953125,-2.105712652206421,-0.8544921278953552,0.03051757626235485,66.66667175292969,41763.0,1.0
35185.8189278,180867.46875,177023.234375,298256.40625,238363.3125,159085.59375,167107.109375,168394.03125,177504.234375,0.020751953125,0.9833984375,-0.26904296875,-2.075195074081421,-0.8239745497703552,0.1831054538488388,66.66667175292969,41764.0,1.0
35185.8270133,180045.359375,176534.171875,297778.4375,237991.90625,158799.671875,167079.828125,168338.328125,177503.25,0.019287109375,0.984375,-0.271484375,-1.9836424589157104,-0.8544921278953552,0.2746581733226776,66.66667175292969,41765.0,1.0
35185.8270201,178274.65625,175680.515625,294753.90625,237572.5,158619.703125,167075.453125,168313.5625,177512.5625,0.0185546875,0.98583984375,-0.274169921875,-1.8005369901657104,-0.6713866591453552,0.2746581733226776,66.66667175292969,41766.0,1.0
35185.8314201,178865.28125,176051.640625,294835.25,237893.65625,158883.359375,167098.515625,168363.453125,177512.5625,0.0166015625,0.988525390625,-0.26904296875,-1.7395018339157104,-0.6103515028953552,0.2136230319738388,66.66667175292969,41767.0,1.0
35185.8339211,180718.0625,176957.96875,297874.28125,238359.734375,159097.75,167104.6875,168397.421875,177506.921875,0.020263671875,0.9892578125,-0.269775390625,-1.7700194120407104,-0.6408690810203552,0.1831054538488388,66.66667175292969,41768.0,1.0
35185.8364072,180352.125,176691.796875,298161.03125,238101.609375,158858.59375,167082.96875,168349.859375,177499.5,0.019775390625,0.9873046875,-0.269775390625,-1.8615721464157104,-0.5493163466453552,0.2746581733226776,66.66667175292969,41769.0,1.0
35185.8457503,178469.65625,175766.171875,295171.875,237615.0625,158616.5625,167080.28125,168310.796875,177503.796875,0.019287109375,0.9853515625,-0.26953125,-1.9531248807907104,-0.3967284858226776,0.2441406100988388,66.66667175292969,41770.0,1.0
35185.8457567,178578.640625,175904.125,294476.5625,237821.59375,158824.078125,167106.484375,168358.53125,177514.96875,0.01904296875,0.983642578125,-0.26806640625,-1.8615721464157104,-0.3967284858226776,0.3356933295726776,66.66667175292969,41771.0,1.0
35185.8476669,180492.671875,176859.34375,297399.1875,238343.640625,159094.453125,167113.625,168402.875,177511.84375,0.0205078125,0.981201171875,-0.268798828125,-1.8615721464157104,-0.3051757514476776,0.2746581733226776,66.66667175292969,41772.0,1.0
